State	Democrat	Republican	EC_Votes
AL	813479	1266546	9
AK	123594	193841	3
AZ	1034707	1230111	10
AR	422310	638017	6
CA	8274473	5011781	55
CO	1288633	1073629	9
CT	997772	629428	7
DE	255459	152374	3
DC	245800	17367	3
FL	4282074	4045624	27
GA	1844123	2048759	15
HI	325871	120566	4
ID	236440	403012	4
IL	3419348	2031179	21
IN	1374039	1345648	11
IA	828940	682379	7
KS	514765	699655	6
KY	751985	1048462	8
LA	782989	1148275	9
ME	421923	295273	4
MD	1629467	959862	10
MA	1904097	1108854	12
MI	2872579	2048639	17
MN	1573354	1275409	10
MS	554662	724597	6
MO	1441911	1445814	11
MT	231667	242763	3
NE	333319	452979	5
NV	533736	412827	5
NH	384826	316534	4
NJ	2215422	1613207	15
NM	472422	346832	5
NY	4804945	2752771	31
NC	2142651	2128474	15
ND	141278	168601	3
OH	2940044	2677820	20
OK	502496	960165	7
OR	1037291	738475	7
PA	3276363	2655885	21
RI	296571	165391	4
SC	862449	1034896	8
SD	170924	203054	3
TN	1087437	1479178	11
TX	3528633	4479328	34
UT	327670	596030	5
VT	219262	98974	3
VA	1959532	1725005	13
WA	1750848	1229216	11
WV	303857	397466	5
WI	1677211	1262393	10
WY	82868	164958	3
